TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RZZR11;138,94;1,225000;10,30;176,00;0,79;45.338,81;1,08;2,30;-0,44;979.129.439,71;524,00;;5.563.126,00
RZZV11;1.050,00;7,220000;6,79;1.218,99;0,86;105.000,00;2,36;;;187.056.736,63;131,00;;153.452,00
SACL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SADI11;8,62;0,114000;12,24;8,73;0,99;17.163,00;7,98;0,14;11,37;135.150.517,24;10.994,00;;15.486.840,00
SAIC11B;0,00;0,662215;0,00;50,87;;;0,29;;;72.731.426,79;45,00;;1.429.740,00
SALI11;0,00;0,900000;0,00;94,27;;;6,49;;;7.500.717,20;2,00;;79.565,00
SAPI11;8,92;0,207300;15,99;9,98;0,89;260.422,79;21,98;;;295.177.840,77;13.028,00;;29.563.321,00
SARE11;4,80;0,026000;3,19;5,03;0,95;348.855,00;4,63;-28,39;-1,55;464.915.874,22;26.586,00;;92.343.290,00
SBCL11;0,00;;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
SCPF11;2,79;0,018000;0,65;9,87;0,28;1.862,58;0,91;0,89;-17,89;41.456.151,33;4.285,00;;4.200.000,00
SEED11;98,34;0,780000;11,38;90,33;1,09;200,00;0,59;0,06;10,72;148.139.776,09;131,00;;1.640.000,00
SEQR11;52,70;0,582300;13,26;93,93;0,56;54.766,16;2,28;-6,18;8,34;156.459.469,47;4.542,00;;1.665.695,00
SFND11;83,07;0,100000;0,00;63,81;1,30;;3,50;115,88;;118.155.565,38;8.102,00;;1.851.786,00
SFRO11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SHDP11B;0,00;103,930000;0,00;1.411,60;;;0,95;28,19;;1.679.416.608,07;2,00;;1.189.725,00
SHOP11;55,00;;0,00;31,50;1,75;219,33;0,71;;-8,34;77.442.255,55;92,00;;2.458.396,00
SHPH11;935,00;3,500000;8,75;1.012,61;0,92;84.458,68;1,09;16,12;16,49;616.627.695,65;2.088,00;;608.950,00
SHPP11;10,00;0,071000;5,68;10,32;0,97;1.104,14;13,28;;;451.119.146,07;129,00;;43.700.000,00
SHSO11;0,00;0,420000;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SIGR11;99,90;1,295000;0,00;9,39;10,64;100,00;0,65;;;188.174.497,02;9.759,00;;20.050.230,00
SJAU11;0,96;11,880000;0,00;1,43;0,67;20.168,95;26,68;;-51,12;11.309.911,20;483,00;;7.932.248,00
SLDZ11;0,00;;0,00;-85,58;;;;;;-430.039,32;2,00;Ativa;5.025,00
SMRE11;63,50;1,058541;21,20;102,75;0,62;492.668,58;1,59;;;108.107.891,66;1.220,00;;1.052.098,00
SNCI11;85,75;1,000000;13,99;97,69;0,88;1.082.912,26;-0,01;-0,95;7,74;410.290.695,89;36.215,00;;4.200.000,00
SNEL11;8,69;0,100000;13,81;8,28;1,05;1.490.340,84;0,34;;;436.417.262,24;59.587,00;;52.680.960,00
SNFF11;77,98;0,800000;12,64;84,83;0,92;644.572,42;4,66;5,28;7,52;341.055.025,93;26.603,00;;4.020.635,00
SNLG11;1,43;0,840000;58,74;0,55;2,60;54.656,26;135,13;;50,44;1.402.383,03;8.983,00;;2.529.966,00
SNME11;9,73;0,150000;15,21;9,49;1,03;270.939,79;9,79;;;70.432.513,28;4.839,00;;7.418.243,00
SOFF11;112,00;1,000000;0,89;102,72;1,09;10.422,80;0,00;;;188.481.767,60;304,00;;1.834.908,00
SOLR11;1.051,35;4,770765;0,00;919,68;1,14;0,00;0,52;;;60.270.034,50;1,00;;65.533,00
SPAF11;0,00;10,387151;0,00;980,20;;;2,88;24,68;;11.046.855,37;1,00;;11.270,00
SPDE11;1.266,67;10,410000;10,08;1.726,41;0,73;0,00;1,47;;;157.794.140,34;120,00;;91.400,00
SPGM11;12,89;;0,00;16,69;0,77;13.717.333,33;0,06;;;71.760.430,02;118,00;;4.300.776,00
SPMO11;122,00;0,430000;0,00;128,92;0,95;61.610,00;0,01;;;233.854.250,97;14,00;;1.814.007,00
SPTW11;40,00;0,600000;13,20;58,75;0,68;115.332,00;6,89;-0,93;12,93;105.640.161,86;17.984,00;;1.798.000,00
SPVJ11;0,00;0,175000;0,00;23,61;;;27,07;-40,38;;149.017.222,61;24,00;;6.312.090,00
SPXC11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SPXG11;0,00;;0,00;9,02;;;1,94;;;2.855.302,30;36,00;;316.496,00
SPXL11;0,00;;0,00;9,04;;;5,57;;;29.825.762,09;28,00;;3.298.014,00
SPXS11;8,84;0,104000;13,91;9,55;0,93;846.775,42;15,10;-0,64;17,21;192.829.782,51;19.950,00;;20.189.040,00
SRVD11;3,00;0,200000;0,00;0,17;17,65;0,00;0,00;;-26,29;15.929.756,61;106,00;;96.286.020,00
STRX11;140,16;0,970000;7,82;153,06;0,92;0,00;1,12;6,71;;246.978.959,17;111,00;;1.613.559,00
SURE11;0,00;0,600000;0,00;10,30;;;41,42;;;110.514.431,91;2,00;;10.728.379,00
TBOF11;15,56;0,822740;0,00;63,81;0,24;;3,50;74,62;;118.155.565,38;8.102,00;;1.851.786,00
TCIN11;145,92;;0,00;64,56;2,26;1.271.109,00;0,00;;;55.044.830,15;110,00;;852.585,00
TCPF11;39,53;1,310000;0,00;99,58;0,40;0,00;3,31;;;29.607.365,15;48,00;;297.327,00
TELD11;0,00;;0,00;24,21;;;16,91;;;11.371.284,31;2,00;;469.760,00
TELF11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TELM11;9,60;0,256000;17,04;9,82;0,98;13.000,05;11,59;;;21.094.351,22;119,00;;2.147.362,00
TEPP11;8,72;0,075000;11,84;98,00;0,09;3.167.044,37;1,21;12,24;19,73;413.749.533,66;27.248,00;;4.221.967,00
TFOF11;138,00;2,370000;0,00;63,81;2,16;;3,50;29,98;;118.155.565,38;8.102,00;;1.851.786,00
TGAR11;92,00;1,000000;13,04;107,50;0,86;5.397.770,37;0,36;-10,05;4,73;2.533.636.267,24;150.846,00;;23.567.968,00
THRA11;138,50;0,130000;0,00;63,81;2,17;;3,50;90,73;;118.155.565,38;8.102,00;;1.851.786,00
TJKB11;255,00;2,900000;14,08;259,59;0,98;605.831,42;2,33;6,50;;302.330.306,20;448,00;;1.164.647,00
TMPS11;84,50;0,880000;11,75;96,91;0,87;268.507,47;2,91;;;94.876.290,29;1.900,00;;978.968,00
TOPP11;73,74;0,840000;13,67;106,04;0,70;579.050,11;1,03;;;480.167.674,67;4.631,00;;4.528.240,00
TORD11;1,90;0,007000;7,37;35,39;0,05;16.069,21;1,25;-46,86;-63,61;206.774.405,29;47.292,00;;5.841.982,00
TORM13;142,00;10,562960;0,00;63,81;2,23;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TOUR11;8,80;0,242328;0,00;63,81;0,14;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TRBL11;67,85;0,530000;10,42;82,82;0,82;1.528.134,53;1,84;-8,83;0,26;640.957.237,62;46.256,00;;7.739.092,00
TRNT11;94,00;0,070000;0,00;179,93;0,52;40.588,06;2,53;-14,19;-7,69;708.108.837,77;520,00;;3.935.562,00
TRPL11;1,05;;0,00;;;96.468,33;;;;;;;0,00
TRXB11;180,00;4,050000;14,25;94,81;1,90;30.274,32;2,18;24,07;30,66;355.177.167,64;547,00;;3.746.020,00
TRXF11;96,49;1,000000;12,24;101,67;0,95;24.805.072,47;6,02;1,33;8,83;3.303.709.457,83;208.650,00;;32.493.284,00
TRXY11;9,50;0,130000;14,21;9,32;1,02;30.479,89;3,28;;;148.798.854,49;921,00;;15.970.289,00
TSER11;97,00;1,040000;13,11;97,07;1,00;194,00;5,81;1,25;9,51;144.200.147,82;19,00;;1.485.504,00
TSNC11;81,06;7,361195;0,00;79,20;1,02;81,00;6,53;-38,46;;86.068.867,75;104,00;;1.086.780,00
TSNM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TVRI11;99,97;1,050000;12,48;104,24;0,96;789.513,89;2,37;4,84;16,85;1.659.539.750,23;59.316,00;;15.919.690,00
URHF11;71,99;1,070000;20,38;95,74;0,75;16.404,79;17,78;;;10.570.833,93;281,00;;110.417,00
URPR11;38,37;0,350000;16,34;99,41;0,39;1.089.374,42;0,90;-24,76;-16,21;1.166.423.645,25;0,00;;11.733.895,00
VCHG11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VCJR11;79,35;0,770000;14,74;94,12;0,84;1.881.191,37;4,51;1,99;8,79;1.385.751.292,02;27.085,00;;14.723.970,00
VCRI11;7,44;0,095000;14,78;9,44;0,79;138.369,05;4,45;-1,90;7,61;193.836.004,00;13.533,00;;20.543.663,00
VCRR11;67,50;0,500000;8,89;125,95;0,54;454.175,68;3,18;-10,54;8,94;251.900.541,50;3.174,00;;2.000.000,00
VCTH11;0,00;;0,00;96,21;;;5,81;;;68.881.409,79;62,00;;715.952,00
VDSV11;0,00;;0,00;759,85;;;1,44;;;28.978.542,24;84,00;;38.137,00
VERE11;123.378,28;5,750000;0,03;497,15;248,17;2.308.614.170,15;1,10;17,92;;317.757.550,94;112,00;;639.156,00
VGHF11;7,19;0,070000;14,19;8,58;0,84;2.675.276,47;3,51;-7,77;5,01;1.414.086.259,53;389.831,00;;164.721.683,00
VGII11;72,84;0,400000;2,86;101,77;0,72;434,50;30,14;;;52.804.504,85;7,00;;518.865,00
VGIP11;79,66;0,710000;14,34;90,49;0,88;2.077.035,21;2,56;2,48;10,26;1.066.675.477,88;84.451,00;;11.787.247,00
